Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology-Type,Installed Capacity (MWelec),CHP Enabled,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,lat,lng
4172,21/04/2017,RWE Npower Renewables,Headwind Taff Ely Wind Farm (Repowering),Wind Onshore,17.5,n/a,2.5,7,,n/a,Planning Permission Granted,Awaiting Construction,10 kilometres (km) north east of Bridgend,Mid Glamorgan,Wales,Wales,298257.00,186256.00,Rhondda Cynon Taff County Borough Council,11/1468/10,,,,,,23/12/2011,,,,,,,23/04/2013,,,,,,,51.565969,-3.4692764
4181,28/07/2014,Nuon UK,Hirddywel,Wind Onshore,27,n/a,3,9,,n/a,Planning Application Submitted,Application Submitted,"6.5km to south east of Llanidloes,Powys",Powys,Wales,Wales,301261.00,280542.00,Powys County Council,P/2010/0650,,,,,,25/06/2010,,,,,,,,,,,,,,52.413934,-3.4531352
4193,18/04/2017,REG Windpower,Mynydd Brombil Wind Farm,Wind Onshore,8,n/a,2,4,,n/a,Operational,Operational,"Brombil, Port Talbot",Neath Port Talbot,Wales,Wales,279141.00,188569.00,Neath Port Talbot County Borough Council,P2012/0638,APP/Y6930/A/14/2226525,,,,,29/08/2012,,,07/01/2015,,,08/07/2015,08/07/2015,,,,08/07/2020,01/02/2016,15/01/2017,51.58298,-3.7457392
4194,18/04/2017,REG Windpower,Mynydd Portref Wind Farm extension,Wind Onshore,12,n/a,2,6,,n/a,Operational,Operational,,Mid Glamorgan,Wales,Wales,299608.00,185606.00,Rhondda Cynon Taff County Borough Council,12/0704/10,,,,,,29/06/2012,,,,,,,19/12/2014,,,,,11/04/2016,01/03/2017,51.560369,-3.4496059
4196,29/05/2015,Renewable Energy Systems Ltd (RES),Longlands Lane,Wind Onshore,1.5,n/a,1.5,1,,n/a,Operational,Operational,"Longlands Lane, Margam, nr junction 38 of the M4.",Gwent,Wales,Wales,278940.00,186385.00,Newport City Council,12/1001,,,,,,30/10/2012,,,,,,,06/11/2013,,,,,30/09/2014,01/12/2014,51.563309,-3.7478855
4198,18/04/2017,REG Windpower,Abergorki Wind Farm,Wind Onshore,9,n/a,3,3,,n/a,Planning Permission Granted,Awaiting Construction,"Craig yr Aber, Land North-East of Ffoch-orky, Treorchy, Rhondda Cynon Taf",Mid Glamorgan,Wales,Wales,296106.00,199051.00,Rhondda Cynon Taff County Borough Council,13/0663/10,,,,,,27/06/2013,,,,,,,23/07/2015,,,,,,,51.68058,-3.5040973
4312,02/12/2016,E.On / Eurus (TPG Wind),Rhyd-y-Groes Wind Farm - repowering,Wind Onshore,9.9,n/a,0.9,11,79,n/a,Planning Permission Granted,Awaiting Construction,"near Amlwch, Anglesey",Gwynedd,Wales,Wales,240467.00,392683.00,Isle of Anglesey County Council,20C102L/EIA/RE,,,,,,12/04/2015,,,,,,,21/10/2016,,,,,,,53.40678,-4.4013863
4409,03/05/2017,Pennant Walters (PYWX),Pant y wal extension,Wind Onshore,20,n/a,2.5,8,125,n/a,Under Construction,Under Construction,"Mynydd Maesteg, Mynydd Pwlle yr Helog, Ogmore Vale, Rhondda Valley",Mid Glamorgan,Wales,Wales,294649.00,188695.00,Bridgend County Borough Council,P/14/293/FUL,,,,,,30/04/2014,,,,,,,02/04/2015,,,,,14/03/2016,,51.587228,-3.5220432
4412,18/04/2017,REG Windpower/ BlackRock,Pen Bryn Oer Wind Farm,Wind Onshore,4,n/a,1.33,3,,n/a,Under Construction,Under Construction,"Pen Bryn Oer, Merthyr Road, Rhymney",Mid Glamorgan,Wales,Wales,312065.00,209235.00,Caerphilly County Borough Council,13/0483/FULL,APP/K6920/A/14/2221852,,,,,28/06/2013,,10/08/2014,08/07/2014,,,06/08/2015,06/08/2015,,,,06/08/2018,15/01/2017,,51.774852,-3.2759127
4483,19/05/2017,Wind Energy Direct,Lawrence Landfill,Wind Onshore,1.6,n/a,0.8,2,,n/a,Operational,Operational,"Lawrence Landfill, Pope Hill, Johnston, Haverfordwest, Dyfed, SA62 3NX",Dyfed,Wales,Wales,193075.00,212682.00,Pembrokeshire County Council,12/1206/PA,,,,,,12/04/2013,,10/03/2014,,,,26/08/2014,26/08/2014,,,,,15/08/2016,15/03/2017,51.774458,-5.0007643
4485,21/06/2017,Pennant Walters (MAESX) Limited,Maesgwyn Wind Farm - extension,Wind Onshore,2.5,n/a,2.5,1,,n/a,Operational,Operational,Maesgwyn Wind Farm Between Onllwyn & Glynneath,West Glamorgan,Wales,Wales,286568.00,205930.00,Neath Port Talbot County Borough Council,P2014/0733,,,,,,15/08/2014,,,,,,,17/12/2015,,,,17/12/2020,21/01/2016,29/03/2016,51.740558,-3.6442352
4552,05/07/2017,RWE Innogy UK,Clocaenog Forest Wind Farm,Wind Onshore,96,n/a,3.6,27,,n/a,Planning Permission Granted,Awaiting Construction,"Clocaenog forest, Ruthin, Clwyd",Clwyd,Wales,Wales,300324.00,353682.00,The Planning Inspectorate - National Infrastructure,n/a,,,,,,23/04/2013,,,,,,,12/09/2014,,,,12/09/2019,,,53.071041,-3.489152
4570,16/09/2014,Chris Thomas,Bryngydfa Wind Farm,Wind Onshore,36,n/a,3,12,,n/a,Planning Application Submitted,Application Submitted,"Felindre (Northern Area SO135809, South Knighton) Powys LD7 1Y",Powys,Wales,Wales,313500.00,280900.00,Powys County Council,P/2009/0384,,,,,,03/04/2009,,,,,,,,,,,,,,52.419226,-3.2733358
4571,04/07/2017,Amegni Renewables Ltd,Carno 3,Wind Onshore,45,n/a,2.5,18,,n/a,Planning Permission Granted,Awaiting Construction,"Carno, Powys, SY17 5JS",Powys,Wales,Wales,294433.00,297106.00,Powys County Council,P/2010/0762,,,,,,15/07/2010,,,,,,,26/05/2017,,,,,,,52.561512,-3.5587402
4595,17/05/2017,Vattenfall (previously Nuon Renewables),Pen Y Cymoedd,Wind Onshore,228,n/a,3,76,,n/a,Operational,Operational,Land stretches from the Upper Afan Valley to end of Cynon Valley.,Neath Port Talbot,Wales,Wales,282793.00,196557.00,DECC (S36),n/a,,,,,,19/11/2009,,,,,,,08/05/2012,,,,,06/02/2014,19/05/2017,51.655543,-3.6957302
4644,18/05/2017,John Laing ,Llynfi Afan Renewable Energy Park,Wind Onshore,24,n/a,2,12,,n/a,Under Construction,Under Construction,"Mynydd Y Gelli, Port Talbot, Bridgend",Neath Port Talbot,Wales,Wales,288368.00,195006.00,Bridgend County Borough Council,P/10/844/FUL�,,,,,,15/11/2010,,,,,,,18/07/2013,,,,,27/05/2016,,51.642739,-3.6146784
4648,18/05/2017,RWE Npower Renewables/ Innogy,Mynydd Y Gwair Wind Farm (resubmission),Wind Onshore,32.8,n/a,3,16,,n/a,Under Construction,Under Construction,"Swansea, West Glamorgan",West Glamorgan,Wales,Wales,266303.00,207394.00,City and County Council of Swansea,2012/1221,,,,,,11/09/2012,,,,,,,08/02/2013,,,,,08/02/2017,,51.749241,-3.9381287
4656,18/05/2017,John Laing ,"Llynfi Renewable Energy Park, Land at Mynydd Caerau",Wind Onshore,18,n/a,2,12,,n/a,Under Construction,Under Construction,"Glyncorrwg and Gelli Mountain, Croeserw, Neath and Port Talbot",Neath Port Talbot,Wales,Wales,287930.00,195255.00,Neath Port Talbot County Borough Council,P2010/1148,,,,,,15/11/2010,,03/04/2012,,,,27/08/2013,27/08/2013,,,,,27/05/2016,,51.64489,-3.6210854
4661,29/05/2015,John Laing,Wear Point,Wind Onshore,8.2,n/a,2.05,4,,n/a,Operational,Operational,"Land at Wear Point, Waterston Industrial, Llanstadwell",Dyfed,Wales,Wales,193041.00,204629.00,Pembrokeshire County Council,09/0544/PA,,,,,,02/10/2009,,,,,,,25/05/2010,,,,,30/06/2012,07/07/2014,51.702139,-4.9964654
4670,06/04/2010,Statkraft and Catamount Energy Corporation,Blaengwen (Re-Submission),Wind Onshore,23,n/a,2.3,10,,n/a,Operational,Operational,Pencader Carms.,Dyfed,Wales,Wales,246387.00,233404.00,Carmarthenshire County Council,,,,,,,06/07/2006,,,,,,,27/03/2007,,,,,01/11/2008,30/11/2009,51.977807,-4.2379828
4677,06/05/2009,RWE npower,Ffynnon Oer Wind Farm,Wind Onshore,32,n/a,2,16,,n/a,Operational,Operational,Near Glyncorrwg,West Glamorgan,Wales,Wales,287500.00,199500.00,Neath Port Talbot County Borough Council,02/1322,,,,,,05/11/2002,,,,,,,27/05/2003,,,,,,01/12/2005,51.682956,-3.6286652
4684,06/05/2009,Renewable Energy Systems (RES),Mynydd Clogau Wind Farm,Wind Onshore,14.5,n/a,0.85,17,,n/a,Operational,Operational,"Mynydd Clogau, Mynydd Bwrch-y-gors and Mynydd Cerrigllwydion, near Adfa, Newtown, Powys",Powys,Wales,Wales,303300.00,298800.00,Powys County Council,1998/0669,,,,,,11/09/1998,,,,,,,23/05/2002,,,,,,01/12/2005,52.578386,-3.4284766
4689,16/08/2012,Munich Re (previously Windjen Power Ltd),Tir Mostyn And Foel Goch Wind Farm,Wind Onshore,21.3,n/a,0.85,25,,n/a,Operational,Operational,"Nantglyn, Denbighshire",Clwyd,Wales,Wales,300300.00,358800.00,Denbighshire County Council,25/710/99/PF,,,,,,22/09/1999,,,,,,,19/12/2002,,,,,,01/06/2005,53.117027,-3.4910998
4728,04/04/2017,Pennant Walters,Esgair Cwmowen,Wind Onshore,47.5,n/a,2.5,19,,n/a,Planning Application Submitted,Application Submitted,Land at Esgair Cwmowen�Nr Carno,Powys,Wales,Wales,306701.00,303409.00,Powys County Council,P/2010/0890,,,,,,21/05/2010,,,,,,,,,,,,,,52.620402,-3.3796038
4734,12/07/2016,Archiception,Land at Darran Farm,Solar Photovoltaics,2.6,n/a,,,,Ground,Planning Permission Granted,Awaiting Construction,"Darran Farm, Argoed, Blackwood",Caerphilly,Wales,Wales,318499.00,199490.00,Caerphilly County Borough Council,14/0455/FULL,,,,,,29/10/2014,,,,,,,10/03/2016,,,,10/03/2021,,,51.688227,-3.1803971
4738,25/07/2016,Rhug Estate,Rhug Estate,Solar Photovoltaics,1.2,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Rhug Estate, Corwen",Denbighshire,Wales,Wales,303123.00,344332.00,Denbighshire County Council,05/2014/1178,,,,,,17/10/2014,,,,,,,14/01/2015,,,,14/01/2020,15/01/2016,15/03/2016,52.987535,-3.4445795
4764,01/03/2017,Pennant Walters Ltd ,Foel Trawsnant,Wind Onshore,39,n/a,3,13,,n/a,Planning Application Submitted,Application Submitted,"Foel Trawsnant, Bryn, Port Talbot ",Neath Port Talbot,Wales,Wales,283447.00,193081.00,Neath Port Talbot County Borough Council,P2014/0825,,,,,,20/10/2014,,,,,,,,,,,,,,51.624439,-3.6851217
4775,28/11/2014,juwi Renewable Energies,Bryn Henllys,Solar Photovoltaics,20,n/a,,,,Ground,Planning Application Submitted,Application Submitted,"Land at Bryn Henllys Open Cast, Upper Cwmtwch, Cwmllynfell",Powys,Wales,Wales,276490.00,212410.00,Powys County Council,P/2015/0176,,,,,,06/02/2015,,,,,,,,,,,,,,51.796659,-3.792427
4786,21/12/2016,Agrivert,Stormy Down (Waste AD),Anaerobic Digestion,3,No,,,,n/a,Operational,Operational,"Parc Stormy, Stormy Down, Airfield Stormy, Pyle, Bridgend",Bridgend,Wales,Wales,284103.00,180025.00,Bridgend County Borough Council,P/14/700/FUL,,,,,,23/10/2014,,,,,,,19/04/2015,,,,19/04/2018,25/08/2015,03/10/2016,51.507234,-3.6713399
4790,24/03/2017,Kingspan,Kingspan,Wind Onshore,1.8,n/a,0.9,2,78,n/a,Planning Permission Granted,Awaiting Construction,"Kingspan Ltd, 2-4 Bagillt Road, Greenfield, Holywell",Flintshire,Wales,Wales,320053.00,377640.00,Flintshire County Council,52922,,,,,,19/11/2014,,,,,,,14/04/2015,,,,14/04/2018,,,53.28967,-3.2007686
4830,20/04/2015,Vogt Solar,Crundale / Fenton Home Farm (extension),Solar Photovoltaics,5.9,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Fenton Home Farm, Crundale, Haverfordwest",Dyfed,Wales,Wales,198289.00,217945.00,Pembrokeshire County Council,14/0511/PA,,,,,,03/09/2014,,,,,,,12/11/2014,,,,12/11/2019,01/01/2015,31/03/2015,51.823619,-4.9283581
4862,22/12/2015,Lightsource Renewable Energy,Tyddyn Cae (Nefyn),Solar Photovoltaics,4.9,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Tyddyn Cae, Boduan, Pwllheli",Gwynedd,Wales,Wales,233416.00,338035.00,Gwynedd Council,C14/0885/33/LL,,,,,,08/09/2014,,,,,,,02/02/2015,,,,02/02/2020,27/07/2015,15/12/2015,52.91384,-4.4788933
4893,24/03/2017,Infinis,Melin Court,Wind Onshore,18,n/a,3,5,,n/a,Planning Permission Granted,Awaiting Construction,"Land to the East of Merlin Court, Resolven",Neath Port Talbot,Wales,Wales,284900.00,200600.00,Neath Port Talbot County Borough Council,P2014/0883,,,,,,15/10/2014,,,,,,,26/08/2016,,,,,,,51.692315,-3.6666193
4896,22/02/2017,Renewable Developments Wales,Cockett Valley,Solar Photovoltaics,4,n/a,,,,Ground,Under Construction,Under Construction,"Cockett Valley, Waunarlywydd Road, Swansea",Swansea,Wales,Wales,260794.00,195054.00,City and County Council of Swansea,2014/1837,,,,,,05/12/2014,,,,,,,18/08/2015,,,,18/08/2020,26/01/2017,,51.637016,-4.0129522
4909,05/01/2015,Dwr Cymru Welsh Water,Llyn Celyn ,Small Hydro,4.5,n/a,n/a,n/a,n/a,n/a,Operational,Operational,Celyn Reservoir near Bala,Gwynedd,Wales,Wales,287800.00,339800.00,Gwynedd Council,,,,,,,,,,,,,,,,,,,,01/01/1994,52.943821,-3.6711683
4938,19/01/2015,Kinetica Solar,Pentre farm,Solar Photovoltaics,5.5,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Pentre Farm, Llannon, Llanelli",Carmarthenshire,Wales,Wales,253611.00,208800.00,Carmarthenshire County Council,S/27526,,,,,,18/12/2012,,,,,,,11/03/2013,,,,,,25/09/2014,51.758699,-4.1224466
4940,16/05/2017,Llancadle Solar Farm Ltd,Llancadle Farm,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Llancadle Farm, Llancadle, Barry, South Glamorgan",Vale of Glamorgan,Wales,Wales,303679.00,168416.00,Vale of Glamorgan Council,2014/01490/FUL,,,,,,07/12/2014,,,,,,,15/05/2015,,,,15/05/2020,,,51.406562,-3.3862039
5006,27/05/2016,3C Energy,Land at Lower House Farm,Solar Photovoltaics,8.1,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Land at Lower House Farm, Kemeys Commander, Usk",Monmouthshire,Wales,Wales,334772.00,204371.00,Monmouthshire County Council,DC/2012/00666,,,,,,08/08/2012,,,,,,,10/12/2012,,,,,01/02/2016,21/03/2016,51.734237,-2.945945
5019,24/03/2016,Navitas Project,Land West of Roberts Wall Far,Solar Photovoltaics,2.5,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Land West of, Roberts Wall Far, Trefloyne Lane, Penally, Tenby, Dyfed",Pembrokeshire,Wales,Wales,210186.00,200504.00,Pembrokeshire County Council,14/1055/PA,,,,,,17/02/2015,,,,,,,26/06/2015,,,,26/06/2020,01/02/2016,23/03/2016,51.671157,-4.7464236
5026,24/08/2016,Lightsource Renewable Energy,Land Opposite Tyn Y Pistyll,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Land Opposite Tyn Y Pistyll, West of Delph Road, Penycae, Wrexham, Clwyd",Wrexham,Wales,Wales,328238.00,343877.00,Wrexham County Borough Council,P/2015/0092,,,,,,10/02/2015,,,,,,,12/05/2015,,,,12/05/2020,16/10/2015,22/12/2015,52.987403,-3.0704359
5053,25/07/2016,Renesola,Rhewl Farm,Solar Photovoltaics,6,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Rhewl Farm, Shirenewton",Monmouthshire,Wales,Wales,349490.00,193050.00,Monmouthshire County Council,DC/2014/00939,APP/E6840/A/14/2229840,,,,,06/08/2014,,05/12/2014,24/02/2015,,,25/06/2015,25/06/2015,,,,25/06/2020,04/04/2016,26/06/2016,51.633979,-2.7311981
5081,16/05/2017,Kelda Organic Energy,Cardiff Organic Waste Treatment Project (resubmission),Anaerobic Digestion,2,n/a,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Cardiff Waste Water Treatment Works, Tide Fields Road, East Moors",Cardiff,Wales,Wales,321166.00,175969.00,Cardiff Council,15/00591/MJR,,,,,,12/03/2015,,,,,,,13/05/2015,,,,13/05/2020,,,51.477165,-3.1365355
5082,27/03/2017,Energiekontor UK,Mynydd Pencarreg,Wind Onshore,4.6,n/a,2.3,2,100,n/a,Planning Permission Granted,Awaiting Construction,"Land North of Esgairliving, Rhydcwmerau, Llandeilo",Carmarthenshire,Wales,Wales,256960.00,241000.00,Carmarthenshire County Council,W/31728,,,,,,18/03/2015,,,,,,,08/03/2016,,,,08/03/2019,,,52.048879,-4.0873316
5084,16/02/2017,BE Renewables,Court Farm (Resubmission),Solar Photovoltaics,8.5,n/a,n/a,n/a,n/a,Ground,Appeal Granted,Awaiting Construction,"Land Forming Part Of Court Farm, Magor Road",Newport,Wales,Wales,339241.00,189511.00,Newport City Council,14/1275,APP/G6935/A/15/3034087,,,,,05/03/2015,,07/04/2015,10/07/2015,,,09/10/2015,09/10/2015,,,,,,,51.601147,-2.8786503
5088,23/05/2017,Sunrise Renewables,Barry Docks (new project),Advanced Conversion Technologies,10,No,n/a,n/a,n/a,n/a,Under Construction,Under Construction,"David Davies Road, Woodham Road, Barry",Vale of Glamorgan,Wales,Wales,312610.00,167683.00,Vale of Glamorgan Council,2015/00031/OUT,,,,,,12/02/2015,,,,,,,31/07/2015,,,,31/07/2018,15/04/2016,,51.401421,-3.2576563
5093,28/08/2015,Associated British Ports (ABP),Port of Barry (Resubmission) - Site 1,Solar Photovoltaics,4.5,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Atlantic Way, Port of Barry, Barry",Vale of Glamorgan,Wales,Wales,312836.00,167102.00,Vale of Glamorgan Council,2015/00173/FUL,,,,,,18/02/2013,,,,,,,15/04/2015,,,,15/04/2020,01/06/2015,18/08/2015,51.396233,-3.2542654
5104,16/06/2017,Cenin Renewables,Home Farm,Solar Photovoltaics,3,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Home Farm, land West of Drope Road, St. George's-super-Ely, Cardiff, South Glamorgan, Wales",Vale of Glamorgan,Wales,Wales,310310.00,175854.00,Vale of Glamorgan Council,2015/00852/FUL,,,,,,30/07/2015,,,,,,,14/01/2016,,,,14/01/2021,09/01/2017,15/04/2017,51.474512,-3.2927834
5147,26/09/2016,Pegasus Group,Knolton Farmhouse Cheese Solar Farm,Solar Photovoltaics,1,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Knolton Farmhouse Cheese Ltd, Oswestry Road, Overton, Wrexham, Clwyd",Wrexham,Wales,Wales,335887.00,340585.00,Wrexham County Borough Council,P/2015/0249,,,,,,02/04/2015,,,,,,,01/06/2015,,,,01/06/2020,01/12/2015,01/03/2016,52.958786,-2.9558593
5150,11/01/2016,Suncredit UK/ Vogt solar ,Agricultural Land at Trecastle,Solar Photovoltaics,4,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Agricultural Land at Trecastel, Four Fields Centered on, Llanharry, Pontyclun, Mid Glamorgan",Rhondda Cynon Taff,Wales,Wales,301218.00,181507.00,Rhondda Cynon Taff County Borough Council,15/0411/10,,,,,,26/03/2015,,,,,,,15/10/2015,,,,15/10/2020,15/11/2015,15/12/2015,51.523809,-3.4252367
5190,19/04/2016,BNRG Renewables,Fferm Bryn Bachau,Solar Photovoltaics,4.4,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Fferm Bryn Bachau, Chwilog, Pwllheli",Gwynedd,Wales,Wales,243136.00,336998.00,Gwynedd Council,C15/0751/41/LL,,,,,,23/07/2015,,,,,,,30/09/2015,,,,30/09/2020,12/01/2016,29/03/2016,52.907453,-4.3339708
5223,29/05/2015,St. Modwen Developments,Baglan Bay Solar Farm - Phase 2 ,Solar Photovoltaics,10,n/a,n/a,n/a,n/a,Ground,Planning Application Submitted,Application Submitted,"Land adjacent to, Central Aven, Baglan Energy Park, Baglan, Phase 1, Port Talbot, West Glamorgan",Neath Port Talbot,Wales,Wales,273890.00,192702.00,Neath Port Talbot County Borough Council,P2015/0304,,,,,,06/05/2015,,,,,,,,,,,,,,51.618971,-3.8229732
5226,17/05/2017,Earthworm,Land NW Of Pickhill Bridge Farm,Solar Photovoltaics,4,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Land NW Of Pickhill Bridge Far, Holt Road, Cross Lanes, Wrexham, Clwyd",Wrexham,Wales,Wales,338023.00,347831.00,Wrexham County Borough Council,P/2015/0287,,,,,,13/04/2015,,,,,,,31/07/2015,,,,31/07/2020,19/12/2016,24/03/2017,53.024165,-2.9254581
5232,28/05/2015,Elgin Energy EsCo,Wogaston Solar Farm,Solar Photovoltaics,5.3,n/a,n/a,n/a,n/a,Ground,Operational,Operational,Land at Wogaston Farm,Pembrokeshire,Wales,Wales,191197.00,200960.00,Pembrokeshire County Council,12/0906/PA,APP/N6845/A/13/2203220,,,,,21/12/2012,,27/06/2013,27/11/2013,,,16/04/2014,16/04/2014,,,,,01/01/2015,17/03/2015,51.668513,-5.020916
5233,03/07/2017,John Laing Environmental Assets (formerly RGE Energy),Crugmore Farm,Solar Photovoltaics,6.4,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Crugmore Farm, Penparc, Cardigan",Dyfed,Wales,Wales,220569.00,246960.00,Ceredigion County Council,A130807,,,,,,25/10/2013,,,,,,,24/02/2014,,,,24/02/2017,01/01/2015,25/03/2015,52.091817,-4.6206083
5256,29/06/2015,JBM Solutions,Aberporth Solar Farm,Solar Photovoltaics,1.5,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Aberporth Solar Farm B4333 Aberporth, Cardigan",Ceredigion,Wales,Wales,224624.00,250331.00,Ceredigion County Council,A140417,,,,,,12/06/2014,,,,,,,24/12/2014,,,,24/12/2017,15/01/2015,24/03/2015,52.123395,-4.5632181
5257,30/09/2015,Kronos Solar,Hoplass Farm,Solar Photovoltaics,10,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Land at Hoplass Farm, Roscrowther",Pembrokeshire,Wales,Wales,191770.00,201076.00,Pembrokeshire County Council,12/1000/PA,,,,,,06/02/2013,,,,,,,16/04/2014,,,,16/04/2017,01/01/2015,13/03/2015,51.669767,-5.0127113
5270,20/04/2017,TGC Renewables,Land north of Bryn Lane,Solar Photovoltaics,6.4,n/a,n/a,n/a,n/a,Ground,Appeal Granted,Awaiting Construction,"Land North Of, Bryn Lane, Ridley Wood, Holt, Wrexham",Wrexham,Wales,Wales,338726.00,351130.00,Wrexham County Borough Council,P/2015/0397,APP/H6955/A/16/3147773,,,,,27/05/2015,,07/12/2015,06/06/2016,,,13/09/2016,13/09/2016,,,,,,,53.053897,-2.9156068
5271,16/12/2016,Green Switch Solutions - Liquidated,Land South Of Bryn Cyrnau Isaf (resubmission),Solar Photovoltaics,5.9,n/a,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Land South Of, Bryn Cyrnau Isaf, Cwmffrwd, Carmarthen",Carmarthenshire,Wales,Wales,242953.00,217478.00,Carmarthenshire County Council,W/31690,,,,,,09/03/2015,,,,,,,09/06/2015,,,,,,,51.833773,-4.2806762
5281,20/04/2017,TGC Renewables,Land south of Francis Land,Solar Photovoltaics,4.6,n/a,n/a,n/a,n/a,Ground,Appeal Granted,Awaiting Construction,"Land South Of, Francis Lane, Holt, Wrexham, Clwyd",Wrexham,Wales,Wales,338997.00,351449.00,Wrexham County Borough Council,P/2015/0396,APP/H6955/A/16/3147767,,,,,27/05/2015,,07/12/2015,06/06/2016,,,13/09/2016,13/09/2016,,,,,,,53.056795,-2.9116248
5289,14/07/2016,Conergy West Sussex ,Biglis Farm,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Biglis Farm, Argae Lane, Barry, South Glamorgan",Vale of Glamorgan,Wales,Wales,313916.00,170097.00,Vale of Glamorgan Council,2015/00573/FUL,,,,,,28/05/2015,,,,,,,02/10/2015,,,,02/10/2018,15/01/2016,31/03/2016,51.423321,-3.2394736
5292,24/03/2017,Kronos Solar/ Vogt Solar ,Land At Cwm Bargoed,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Land At Cwm Bargoed, West of, Fochriw Road, Cwmbargoed, Merthyr Tydfil, Mid Glamorgan",Merthyr Tydfil,Wales,Wales,309161.00,206091.00,Merthyr Tydfil County Borough Council,P/15/0169,,,,,,01/06/2015,,,,,,,17/09/2015,,,,17/09/2020,25/11/2015,20/01/2016,51.746127,-3.317168
5360,26/05/2017,Lightsource Renewable Energy,Tyddyn Gwyn (Gelli Gron Farm),Solar Photovoltaics,3.8,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Tyddyn Gwyn, Llangybi, Pwllheli, Gwynedd, Wales",Gwynedd,Wales,Wales,241889.00,340088.00,Gwynedd Council,C15/0755/41/LL,,,,,,23/07/2015,,,,,,,09/11/2015,,,,09/11/2020,01/09/2016,30/11/2016,52.934841,-4.354002
5376,26/05/2016,SBC Renewables,Penycae Solar Farm,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Land To East And West Of, Benn, The Grange Plas, Penycae, Wrexham, Clwyd",Wrexham,Wales,Wales,328970.00,344020.00,Wrexham County Borough Council,P/2015/0546,,,,,,15/07/2015,,,,,,,05/10/2015,,,,05/10/2020,28/01/2016,28/03/2016,52.988786,-3.0595653
5379,14/06/2016,Sunventures (Suncredit UK),"Southbrook Solar Farm",Solar Photovoltaics,5,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Southbrook Farm, Sudbrook Road, Sudbrook, Portskewett, Caldicot, Gwent",Monmouthshire,Wales,Wales,350024.00,187852.00,Monmouthshire County Council,DC/2015/00855,,,,,,13/07/2015,,,,,,,03/12/2015,,,,,15/02/2016,15/05/2016,51.587294,-2.7227404
5381,26/04/2017,Suncredit UK,Upper Pant-Ysgawen Farm/Crumlin,Solar Photovoltaics,4.9,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Pant-Ysgawen Farm, Pant Ysgawen Farm Lane, Newbridge, Newport, Gwent",Caerphilly,Wales,Wales,320409.00,197637.00,Caerphilly County Borough Council,15/0512/FULL,,,,,,22/07/2015,,,,,,,10/09/2015,,,,10/09/2020,15/02/2016,07/12/2016,51.671845,-3.15235
5382,24/03/2017,Kronos Solar,Land at Lltty Morphil Farm,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,Ground,Appeal Granted,Awaiting Construction,"Llettyr Morfil Farm, , U/S-Y878, Felindre, Swansea, West Glamorgan",Swansea,Wales,Wales,264741.00,201094.00,City and County Council of Swansea,2015/1529,APP/B6855/A/15/3139869,,,,,22/07/2015,,19/11/2015,04/01/2016,,,10/05/2016,10/05/2016,,,,,,,51.692255,-3.9582933
